circuit,original,,maxLevel=1,,,,,,,,maxLevel=2,,,,,,,,maxLevel=4,,,,,,,,maxLevel=inf,,,,,,,
,area,delay,error rate,area,delay,time (s),AR,average AR,DR,average DR,error rate,area,delay,time (s),AR,average AR,DR,average DR,error rate,area,delay,time (s),AR,average AR,DR,average DR,error rate,area,delay,time (s),AR,average AR,DR,average DR
alu4,2740,51.5,0.001,2588,46.2,600.7,94.45%,,89.71%,,0.001,2606,46.4,,95.11%,,90.10%,,0.001,2598,46,,94.82%,,89.32%,,0.00094,2604,48.7,576.4,95.04%,,94.56%,
alu4,2740,51.5,0.00297,2457,45.5,1008,89.67%,,88.35%,,0.003,2450,45.8,,89.42%,,88.93%,,0.00291,2447,45.9,,89.31%,,89.13%,,0.0029,2448,44.9,1037.1,89.34%,,87.18%,
alu4,2740,51.5,0.00491,2312,44.4,1358.6,84.38%,,86.21%,,0.00498,2300,44.6,,83.94%,,86.60%,,0.00488,2320,43,,84.67%,,83.50%,,0.00485,2310,45.7,1469.5,84.31%,,88.74%,
alu4,2740,51.5,0.00773,2187,43.1,2071.5,79.82%,,83.69%,,0.00789,2161,43.5,,78.87%,,84.47%,,0.00791,2188,39.9,,79.85%,,77.48%,,0.00766,2192,44.3,2054.4,80.00%,,86.02%,
alu4,2740,51.5,0.00982,2086,40.4,1991.8,76.13%,,78.45%,,0.00996,2080,42.1,,75.91%,,81.75%,,0.00922,2096,43.3,,76.50%,,84.08%,,0.00947,2098,39.9,2078.3,76.57%,,77.48%,
alu4,2740,51.5,0.02983,1482,38.2,3245.3,54.09%,,74.17%,,0.02967,1615,38.4,,58.94%,,74.56%,,0.02957,1518,38.9,,55.40%,,75.53%,,0.02887,1505,40.9,2716.2,54.93%,,79.42%,
alu4,2740,51.5,0.04693,1350,38.1,3589.1,49.27%,0.754,73.98%,0.8208,0.04958,1337,39.2,,48.80%,0.7586,76.12%,0.8322,0.04917,1266,34.8,,46.20%,0.7525,67.57%,0.809431345,0.04902,1263,33.9,3058.6,46.09%,0.7518,65.83%,0.8275
c1908,1013,60.6,0.00073,738,60.4,24.7,72.85%,,99.67%,,0.00064,738,60.4,,72.85%,,99.67%,,0.00099,730,60.4,,72.06%,,99.67%,,0.0006,738,60.4,24.2,72.85%,,99.67%,
c1908,1013,60.6,0.00288,721,60.4,28.8,71.17%,,99.67%,,0.00288,721,60.1,,71.17%,,99.17%,,0.00243,721,60.4,,71.17%,,99.67%,,0.003,719,60.4,29.7,70.98%,,99.67%,
c1908,1013,60.6,0.00483,709,60.4,33.7,69.99%,,99.67%,,0.00424,710,60.1,,70.09%,,99.17%,,0.00478,699,60.6,,69.00%,,100.00%,,0.00481,709,60.4,33.3,69.99%,,99.67%,
c1908,1013,60.6,0.00778,694,60.4,28.5,68.51%,,99.67%,,0.00766,687,60.3,,67.82%,,99.50%,,0.0074,696,60.4,,68.71%,,99.67%,,0.00796,694,60.4,27.3,68.51%,,99.67%,
c1908,1013,60.6,0.00997,671,58.9,37.1,66.24%,,97.19%,,0.00942,683,60.1,,67.42%,,99.17%,,0.00951,681,60.4,,67.23%,,99.67%,,0.00991,668,60.9,31.3,65.94%,,100.50%,
c1908,1013,60.6,0.02957,467,51.7,73.2,46.10%,,85.31%,,0.02929,477,50.6,,47.09%,,83.50%,,0.02979,435,53.8,,42.94%,,88.78%,,0.02949,452,56.2,80,44.62%,,92.74%,
c1908,1013,60.6,0.0366,279,23.8,103.4,27.54%,0.6034,39.27%,0.8864,0.03748,279,23.8,,27.54%,0.6057,39.27%,0.885,0.03898,279,23.8,,27.54%,0.5981,39.27%,0.89533239,0.03646,279,23.8,98.8,27.54%,0.6006,39.27%,0.9017
c2670,1434,67.3,0.00097,960,46.8,95.3,66.95%,,69.54%,,1.00E-05,963,47.4,,67.15%,,70.43%,,1.00E-05,963,47.4,,67.15%,,70.43%,,1.00E-05,963,47.4,30.1,67.15%,,70.43%,
c2670,1434,67.3,0.00299,955,46.9,95.2,66.60%,,69.69%,,0.00292,955,46.9,,66.60%,,69.69%,,0.0027,955,46.9,,66.60%,,69.69%,,0.00298,955,46.9,31.6,66.60%,,69.69%,
c2670,1434,67.3,0.00434,944,46.5,128.5,65.83%,,69.09%,,0.00423,944,46.5,,65.83%,,69.09%,,0.00443,944,46.5,,65.83%,,69.09%,,0.00418,944,46.5,33.6,65.83%,,69.09%,
c2670,1434,67.3,0.00741,936,46.2,115.6,65.27%,,68.65%,,0.00717,936,46.2,,65.27%,,68.65%,,0.00687,936,46.2,,65.27%,,68.65%,,0.0072,936,46.2,37.1,65.27%,,68.65%,
c2670,1434,67.3,0.00925,931,46.3,113.3,64.92%,,68.80%,,0.00991,930,42.7,,64.85%,,63.45%,,0.00906,931,46.3,,64.92%,,68.80%,,0.00855,931,46.3,39.3,64.92%,,68.80%,
c2670,1434,67.3,0.02413,909,40.8,148.6,63.39%,,60.62%,,0.02989,900,40,,62.76%,,59.44%,,0.02989,900,40,,62.76%,,59.44%,,0.02934,897,40,50.4,62.55%,,59.44%,
c2670,1615,67.3,0.04856,881,39.5,202.5,54.55%,0.6393,58.69%,0.6644,0.04731,893,40.6,,55.29%,0.6397,60.33%,0.6587,0.04828,877,39.6,,54.30%,0.6383,58.84%,0.664190193,0.05,882,38.7,59.8,54.61%,0.6385,57.50%,0.6623
c3540,1615,84.5,0.00093,1579,83.2,122,97.77%,,98.46%,,0.001,1579,83.2,,97.77%,,98.46%,,0.00091,1579,83.2,,97.77%,,98.46%,,0.00086,1579,83.2,114.3,97.77%,,98.46%,
c3540,1615,84.5,0.00291,1564,82.9,135.4,96.84%,,98.11%,,0.0029,1568,82.9,,97.09%,,98.11%,,0.003,1564,82.9,,96.84%,,98.11%,,0.00217,1571,82.9,125.9,97.28%,,98.11%,
c3540,1615,84.5,0.00497,1560,83.5,148.4,96.59%,,98.82%,,0.00498,1560,83.5,,96.59%,,98.82%,,0.00467,1560,83.5,,96.59%,,98.82%,,0.00391,1559,82.9,148.4,96.53%,,98.11%,
c3540,1615,84.5,0.00774,1553,83.5,162.8,96.16%,,98.82%,,0.00623,1555,83.5,,96.28%,,98.82%,,0.00753,1552,83.8,,96.10%,,99.17%,,0.00795,1551,82.9,155.4,96.04%,,98.11%,
c3540,1615,84.5,0.00895,1547,83.5,156.2,95.79%,,98.82%,,0.00967,1547,83.5,,95.79%,,98.82%,,0.00989,1549,83.5,,95.91%,,98.82%,,0.00949,1549,83.5,153.6,95.91%,,98.82%,
c3540,1615,84.5,0.02929,1473,83.2,288.3,91.21%,,98.46%,,0.02906,1480,83.2,,91.64%,,98.46%,,0.0299,1476,83.2,,91.39%,,98.46%,,0.02955,1476,85.9,254.8,91.39%,,101.66%,
c3540,1615,84.5,0.04935,1302,81.4,566.7,80.62%,0.9357,96.33%,0.9826,0.04911,1307,81.8,,80.93%,0.9373,96.80%,0.9833,0.04851,1304,82.5,,80.74%,0.9362,97.63%,0.984953508,0.04985,1299,82.5,452.6,80.43%,0.9362,97.63%,0.987
c5315,2432,75.3,0.0008,2354,75.9,259.8,96.79%,,100.80%,,0.00081,2354,75.9,,96.79%,,100.80%,,0.00096,2354,75.9,,96.79%,,100.80%,,0.0009,2354,75.9,260.7,96.79%,,100.80%,
c5315,2432,75.3,0.0028,2345,75.9,256.1,96.42%,,100.80%,,0.00281,2342,75.9,,96.30%,,100.80%,,0.00277,2345,75.9,,96.42%,,100.80%,,0.00299,2342,75.9,252.8,96.30%,,100.80%,
