circuit,original,,maxLevel=1,,,,,,,,maxLevel=2,,,,,,,,maxLevel=4,,,,,,,,maxLevel=inf,,,,,,,
,area,delay,error rate,area,delay,time (s),AR,average AR,DR,average DR,error rate,area,delay,time (s),AR,average AR,DR,average DR,error rate,area,delay,time (s),AR,average AR,DR,average DR,error rate,area,delay,time (s),AR,average AR,DR,average DR
alu4,2740,51.5,0.05,1309,34.8,,,0.477737226,,,0.05,1309,34.8,,,0.477737226,,,0.04995,1201,31.9,,,0.438321168,,,0.04995,1201,31.9,,,0.438321168,,
c1908,1013,60.6,0.00879,685,60.1,,,0.676209279,,,0.03679,279,23.8,,,0.275419546,,,0.03679,279,23.8,,,0.275419546,,,0.03679,279,23.8,,,0.275419546,,
c2670,1434,67.3,0.04892,893,41.1,,,0.622733612,,,0.04905,893,41.1,,,0.622733612,,,0.04942,876,39.6,,,0.610878661,,,0.04942,876,39.6,,,0.610878661,,
c3540,1615,84.5,0.02107,1575,83.8,,,0.975232198,,,0.04975,1269,82.5,,,0.785758514,,,0.04975,1269,82.5,,,0.785758514,,,0.04975,1269,82.5,,,0.785758514,,
c5315,2432,75.3,0.04293,2387,70.7,,,0.981496711,,,0.04991,2252,73.9,,,0.925986842,,,0.04991,2252,73.9,,,0.925986842,,,0.04991,2252,73.9,,,0.925986842,,
c7552,2759,159.8,0.04801,2640,161.2,,,0.956868431,,,0.04968,2361,156.2,,,0.855744835,,,0.04948,2296,154.9,,,0.832185574,,,0.04948,2296,154.9,,,0.832185574,,
c880,599,40.4,0.04865,522,37.9,,,0.871452421,,,0.04963,487,33.5,,,0.813021703,,,0.04963,487,33.5,,,0.813021703,,,0.04963,487,33.5,,,0.813021703,,
CLA32,1063,45.8,0.04251,813,48.1,,,0.764816557,,,0.04932,812,48.1,,,0.763875823,,,0.04981,784,48.1,,,0.737535278,,,0.04981,784,48.1,,,0.737535278,,
KSA32,1128,27,0.00862,954,25.4,,,0.845744681,,,0.04854,846,19.6,,,0.75,,,0.04854,846,19.6,,,0.75,,,0.04854,846,19.6,,,0.75,,
MUL8,1276,67.9,0,1036,62.4,,,0.811912226,,,0.04098,997,61.3,,,0.781347962,,,0.04098,997,61.3,,,0.781347962,,,0.04098,997,61.3,,,0.781347962,,
RCA32,691,42.8,0.04813,651,28,,,0.94211288,,,0.04813,651,28,,,0.94211288,,,0.04813,651,28,,,0.94211288,,,0.04813,651,28,,,0.94211288,,
wal8,1104,69.6,0,1071,65.4,,,0.970108696,,,0.04718,1019,68.1,,,0.923007246,,,0.04718,1019,68.1,,,0.923007246,,,0.04718,1019,68.1,,,0.923007246,,
