circuit,original,,maxLevel=1,,
,area,delay,NMED,area,delay
CLA32,1063,45.8,1.43563E-05,334,36.3
CLA32,1063,45.8,0.000029523,315,36.1
CLA32,1063,45.8,5.93152E-05,274,35
CLA32,1063,45.8,0.000116475,240,34.2
CLA32,1063,45.8,0.00024123,212,29.7
CLA32,1063,45.8,0.000471601,196,32.8
CLA32,1063,45.8,0.000948045,149,29.1
CLA32,1063,45.8,0.00191775,132,24.9
KSA32,1128,27,1.36122E-05,413,21.5
KSA32,1128,27,2.47866E-05,367,23.6
KSA32,1128,27,5.99496E-05,323,24.8
KSA32,1128,27,0.000118346,283,27.5
KSA32,1128,27,0.000228114,247,21.6
KSA32,1128,27,0.000478334,210,20.9
KSA32,1128,27,0.000956009,191,18.6
KSA32,1128,27,0.00193555,149,20.6
MUL8,1276,67.9,1.52139E-05,1018,61
MUL8,1276,67.9,2.98834E-05,994,60.7
MUL8,1276,67.9,6.07109E-05,961,59.8
MUL8,1276,67.9,0.000115941,924,59
MUL8,1276,67.9,0.000241326,875,58.7
MUL8,1276,67.9,0.000486816,797,57.7
MUL8,1276,67.9,0.000904305,739,57.2
MUL8,1276,67.9,0.00177923,668,56.8
RCA32,691,42.8,1.50204E-05,278,26.1
RCA32,691,42.8,2.93361E-05,254,26.1
RCA32,691,42.8,5.88217E-05,227,25.5
RCA32,691,42.8,0.000121903,205,23.7
RCA32,691,42.8,0.000243829,185,22.8
RCA32,691,42.8,0.000478607,167,22.8
RCA32,691,42.8,0.000900149,161,22.8
RCA32,691,42.8,0.00184634,137,20.8
WTM8,1104,69.6,1.43842E-05,1003,64.4
WTM8,1104,69.6,2.95972E-05,995,64.4
WTM8,1104,69.6,5.94401E-05,948,59.5
WTM8,1104,69.6,0.00011001,917,58.7
WTM8,1104,69.6,0.000239578,869,62
WTM8,1104,69.6,0.000483718,772,61.4
WTM8,1104,69.6,0.000967059,673,57.6
WTM8,1104,69.6,0.00189208,567,61.6
