circuit,original area,New implementation,,,,,Su's implementaion,,,,acceleration
,,error rate,area,delay,time (s),,error rate,area,delay,time (s),
alu4,2740,0.00094,2604,48.7,576.4,,0.0009,2628,51.4,,
alu4,2740,0.0029,2448,44.9,1037.1,,0.0027,2488,46,,
alu4,2740,0.00485,2310,45.7,1469.5,,0.005,2383,46,,
alu4,2740,0.00766,2192,44.3,2054.4,,0.00765,2280,46.6,,
alu4,2740,0.00947,2098,39.9,2078.3,,0.01,2183,46.8,,
alu4,2740,0.02887,1505,40.9,2716.2,,0.0299,1599,37,,
alu4,2740,0.04902,1263,33.9,3058.6,,0.04963,1338,34.5,27736,9.068201138
c1908,1013,0.0006,738,60.4,24.2,,0.00016,746,60.5,,
c1908,1013,0.003,719,60.4,29.7,,0.00127,728,60.4,,
c1908,1013,0.00481,709,60.4,33.3,,0.00127,728,60.4,,
c1908,1013,0.00796,694,60.4,27.3,,0.00703,693,60.4,,
c1908,1013,0.00991,668,60.9,31.3,,0.00887,680,60.1,,
c1908,1013,0.02949,452,56.2,80,,0.02958,512,49.5,,
c1908,1013,0.03646,279,23.8,98.8,,0.03655,279,23.8,2030,20.5465587
c2670,1434,1.00E-05,963,47.4,30.1,,0,960,47.4,,
c2670,1434,0.00298,955,46.9,31.6,,0.00103,957,46.8,,
c2670,1434,0.00418,944,46.5,33.6,,0.00427,940,46.5,,
c2670,1434,0.0072,936,46.2,37.1,,0.00698,935,46.2,,
c2670,1434,0.00855,931,46.3,39.3,,0.00825,930,46.3,,
c2670,1434,0.02934,897,40,50.4,,0.02701,904,40.8,,
c2670,1615,0.05,882,38.7,59.8,,0.04769,889,41,1439,24.06354515
c3540,1615,0.00086,1579,83.2,114.3,,0.00077,1581,83,,
c3540,1615,0.00217,1571,82.9,125.9,,0.00292,1569,83.1,,
c3540,1615,0.00391,1559,82.9,148.4,,0.00469,1563,83.1,,
c3540,1615,0.00795,1551,82.9,155.4,,0.00599,1555,82.7,,
c3540,1615,0.00949,1549,83.5,153.6,,0.00599,1555,82.7,,
c3540,1615,0.02955,1476,85.9,254.8,,0.0229,1519,83.4,,
c3540,1615,0.04985,1299,82.5,452.6,,0.04988,1433,82.3,4601,10.16570924
c5315,2432,0.0009,2354,75.9,260.7,,0.00088,2357,72.7,,
c5315,2432,0.00299,2342,75.9,252.8,,0.00222,2346,72.7,,
c5315,2432,0.00492,2331,75.9,257.4,,0.00413,2335,72.7,,
c5315,2432,0.00796,2307,75,301.1,,0.0074,2316,72.7,,
c5315,2432,0.00954,2302,75,332.3,,0.00826,2309,71.8,,
c5315,2432,0.02749,2252,72.3,432.6,,0.01064,2300,72.9,,
c5315,2432,0.04969,2247,73.9,433.9,,0.04793,2250,72.9,5750,13.25190136
c7552,2759,0.00081,2502,156.6,739,,0.00073,2518,157,,
c7552,2759,0.00277,2455,157.1,755.7,,0.00237,2461,157,,
c7552,2759,0.00435,2433,156.8,832.2,,0.00359,2437,157,,
c7552,2759,0.00574,2426,156.8,822.3,,0.00545,2424,156.8,,
c7552,2759,0.00866,2416,156.8,896.6,,0.00545,2424,156.8,,
c7552,2759,0.0276,2389,156.8,1075.7,,0.00545,2424,156.8,,
c7552,2759,0.04866,2188,149.8,1227.2,,0.0499,2324,154.8,11941,9.730280313
c880,599,0.00073,551,38.8,2.7,,0.0007,548,38.5,,
c880,599,0.00296,540,38.5,3.6,,0.00297,537,38.2,,
c880,599,0.00478,528,38.4,4.5,,0.00458,526,38.1,,
c880,599,0.00478,528,38.4,4.5,,0.00458,526,38.1,,
c880,599,0.00983,523,36.1,5.2,,0.00458,526,38.1,,
c880,599,0.02702,508,34.5,6.8,,0.02646,505,34.2,,
c880,599,0.04708,490,33.5,8.9,,0.04762,487,33.2,236,26.51685393
cla32,1063,0.00084,838,46.7,34.1,,0.00045,844,46.7,,
cla32,1063,0.00272,827,47.4,38.2,,0.00234,834,47.7,,
cla32,1063,0.00467,819,47.7,39.8,,0.00429,830,47.7,,
cla32,1063,0.00673,809,48.1,46.6,,0.00571,820,48.1,,
cla32,1063,0.00971,808,47.8,44.5,,0.0093,805,48.1,,
cla32,1063,0.02734,795,48.1,55.8,,0.02719,794,48.1,,
cla32,1063,0.04135,791,44.4,61,,0.04302,790,44.6,1184,19.40983607
ksa32,1128,0.00081,1027,26.8,89,,0.00095,999,25.3,,
ksa32,1128,0.0028,991,25.3,87.9,,0.00095,999,25.3,,
ksa32,1128,0.00472,984,22.8,98.7,,0.00402,996,25.3,,
ksa32,1128,0.00791,969,22.8,114.5,,0.00732,981,24.5,,
ksa32,1128,0.00968,963,24.5,119.1,,0.00835,977,24.5,,
ksa32,1128,0.02325,851,19.6,141,,0.02328,851,19.6,,
ksa32,1128,0.04862,843,19.6,146.2,,0.04853,843,19.6,3030,20.7250342
mtp8,1276,0,1024,61,59.7,,0,1029,61,,
mtp8,1276,0,1024,61,61.4,,0,1029,61,,
mtp8,1276,0.00481,1009,61,71.5,,0,1029,61,,
mtp8,1276,0.00523,1009,61,83.4,,0,1029,61,,
mtp8,1276,0.00523,1009,61,81.9,,0,1029,61,,
mtp8,1276,0.02953,1006,61,72.6,,0.02268,1012,61,,
mtp8,1276,0.04226,997,61.3,80.1,,0.04137,1002,61.3,1503,18.76404494
rca32,691,0.00021,677,28.5,1.4,,7.00E-05,677,28.5,,
rca32,691,0.0022,670,26.9,2.4,,0.00207,670,26.9,,
rca32,691,0.00373,664,28,3.2,,0.00387,664,28,,
rca32,691,0.00373,664,28,3.1,,0.00387,664,28,,
rca32,691,0.00373,664,28,3.2,,0.00387,664,28,,
rca32,691,0.01988,660,28,4.1,,0.00387,664,28,,
rca32,691,0.04742,651,28,4.8,,0.04761,651,28,137,28.54166667
wal8,1104,4.00E-05,1057,64.9,92,,0.0001,1054,64.2,,
wal8,1104,4.00E-05,1057,64.9,100.3,,0.0001,1054,64.2,,
wal8,1104,0.00339,1056,67.4,111.4,,0.00304,1053,66.7,,
wal8,1104,0.00339,1056,67.4,124.5,,0.00304,1053,66.7,,
wal8,1104,0.00901,1048,68.2,123.1,,0.00963,1044,68.9,,
wal8,1104,0.02965,1025,68.1,149.1,,0.02283,1039,67.4,,
wal8,1104,0.04662,1019,68.1,156.2,,0.04854,1031,67.4,2862,18.32266325
,,,,,,,,,,,18.25885791
