circuit,ER,area,delay
c1908,0,751,60.5
c1908,0,750,60.5
c1908,0,750,60.5
c1908,0,754,60.3
c1908,0,756,60.3
c1908,0,749,60.1
c1908,0,748,60.1
c1908,0,750,60.1
c1908,0,749,60.1
c1908,0.00016,746,60.5
c1908,0.00111,732,60.5
c1908,0.00127,728,60.4
c1908,0.00703,693,60.4
c1908,0.00887,680,60.1
c1908,0.00935,680,60.1
c1908,0.01028,668,60.1
c1908,0.01076,668,60.1
c1908,0.01161,653,59.5
c1908,0.01202,653,59.5
c1908,0.01346,640,58.9
c1908,0.01352,640,58.9
c1908,0.01509,624,58.2
c1908,0.01525,624,58.2
c1908,0.01649,609,57
c1908,0.01693,609,57
c1908,0.01875,592,56.1
c1908,0.01934,592,56.1
c1908,0.01975,585,56.1
c1908,0.02059,576,56.4
c1908,0.02228,576,56.4
c1908,0.02293,564,55.9
c1908,0.02656,544,54.2
c1908,0.02955,530,49.8
c1908,0.02957,522,49.5
c1908,0.02958,512,49.5
c1908,0.03005,498,49
c1908,0.03009,498,49
c1908,0.03084,494,48.3
c1908,0.03091,498,49
c1908,0.03099,485,48.3
c1908,0.03157,512,49.5
c1908,0.03161,462,47.1
c1908,0.03191,462,47.1
c1908,0.03193,462,47.1
c1908,0.03204,462,47.1
c1908,0.03217,462,47.1
c1908,0.03217,453,47.5
c1908,0.03218,456,47.5
c1908,0.03222,462,47.1
c1908,0.03225,454,47.5
c1908,0.03225,465,47.9
c1908,0.0323,494,48.3
c1908,0.03269,497,48.3
c1908,0.03295,451,47.5
c1908,0.03366,460,47.5
c1908,0.03401,448,48.5
c1908,0.03413,446,48.5
c1908,0.03451,445,48.5
c1908,0.03462,429,47.7
c1908,0.03466,442,48.5
c1908,0.03558,417,56.3
c1908,0.03575,409,56
c1908,0.03578,375,51.4
c1908,0.03623,398,56.4
c1908,0.03625,419,55.3
c1908,0.0365,381,52.5
c1908,0.03655,279,23.8
c1908,0.0366,405,56.4
c1908,0.03678,387,53.6
c1908,0.03683,389,53.6
c1908,0.03706,376,51.4
c1908,0.03707,279,23.8
c1908,0.03708,370,44.8
c1908,0.03718,385,52.5
c1908,0.03722,279,23.8
c1908,0.03726,383,52.5
c1908,0.03739,285,23.7
c1908,0.03749,352,39.5
c1908,0.03758,336,41.7
